Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,AXISBANK,EQ,502.4,502.65,504.0,499.05,503.0,503.05,501.48,1351985,67799017229999.99,17713,388429,0.2873
2015-01-02,AXISBANK,EQ,503.05,503.2,516.9,501.7,514.55,514.3,512.32,3852825,197388687335000.0,45686,1013697,0.2631
2015-01-05,AXISBANK,EQ,514.3,516.9,520.4,515.1,516.5,517.55,517.76,2561430,132620870675000.0,38963,853805,0.3333
2015-01-06,AXISBANK,EQ,517.55,513.55,513.55,496.75,498.5,499.05,503.07,5284530,265849301194999.97,62148,2384347,0.4512
2015-01-07,AXISBANK,EQ,499.05,498.8,505.35,494.5,501.0,498.65,499.69,4245189,212127132145000.0,58735,1222776,0.28800000000000003
2015-01-08,AXISBANK,EQ,498.65,506.0,507.0,494.65,499.35,501.95,500.94,5637844,282424359550000.0,104685,2780250,0.49310000000000004
2015-01-09,AXISBANK,EQ,501.95,504.9,505.9,487.0,493.95,494.95,496.11,5078463,251946698810000.0,102193,1879242,0.37
