Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,SBIN,EQ,311.85,312.45,315.0,310.7,314.0,314.0,313.67,6138488,192548886370000.0,58688,1877677,0.3059
2015-01-02,SBIN,EQ,314.0,314.35,318.3,314.35,315.6,315.25,316.8,9935094,314738862990000.0,79553,4221685,0.42490000000000006
2015-01-05,SBIN,EQ,315.25,316.25,316.8,312.1,312.8,312.75,313.84,9136716,286743167500000.0,88236,3845173,0.4208
2015-01-06,SBIN,EQ,312.75,310.0,311.1,298.7,299.9,299.9,305.14,15329257,467760129725000.0,169268,7424847,0.4844
2015-01-07,SBIN,EQ,299.9,300.0,302.55,295.15,301.4,300.15,299.95,15046745,451324303375000.0,147185,5631400,0.3743
2015-01-08,SBIN,EQ,300.15,305.0,306.5,302.35,305.25,304.85,304.55,8939749,272259269290000.0,85776,3656015,0.409
2015-01-09,SBIN,EQ,304.85,306.7,307.85,302.0,303.0,303.2,304.45,11953948,363936137255000.0,86383,4412814,0.36920000000000003
