Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,ASIANPAINT,EQ,752.3,751.1,754.5,747.0,749.0,749.15,749.98,284935,21369560150000.0,13485,105929,0.3718
2015-01-02,ASIANPAINT,EQ,749.15,751.25,781.45,751.25,776.05,775.05,771.41,2080850,160519710050000.0,56086,871787,0.419
2015-01-05,ASIANPAINT,EQ,775.05,779.9,787.9,772.7,774.65,775.0,778.57,1326999,103316179580000.0,33728,743940,0.5606
2015-01-06,ASIANPAINT,EQ,775.0,775.0,783.0,750.4,756.15,756.5,769.79,1510720,116292986200000.0,33064,602843,0.399
2015-01-07,ASIANPAINT,EQ,756.5,763.4,778.35,759.25,773.1,771.7,770.69,1427667,110028503245000.0,45009,629631,0.441
2015-01-08,ASIANPAINT,EQ,771.7,783.8,822.9,778.1,821.45,820.35,804.43,2769416,222781045710000.0,66151,870533,0.3143
2015-01-09,ASIANPAINT,EQ,820.35,828.45,829.0,804.05,810.8,812.5,813.13,1708427,138917361950000.0,47902,685445,0.4012
